id,season,week,seasonType,startTime,isStartTimeTBD,homeTeam,homeConference,awayTeam,awayConference,mediaType,outlet
401112246,2019,3,regular,2019-09-14T19:30:00.000Z,,Northwestern,Big Ten,UNLV,Mountain West,tv,BTN
401112124,2019,3,regular,2019-09-14T19:30:00.000Z,,Tulsa,American Athletic,Oklahoma State,Big 12,tv,ESPN2
401110791,2019,3,regular,2019-09-14T20:00:00.000Z,,Ole Miss,SEC,Southeastern Louisiana,,tv,SECN
401110786,2019,3,regular,2019-09-14T20:00:00.000Z,,Arkansas,SEC,Colorado State,Mountain West,tv,SECN
401112454,2019,3,regular,2019-09-14T20:00:00.000Z,,Miami,ACC,Bethune-Cookman,,tv,ACCN
401114258,2019,3,regular,2019-09-14T21:00:00.000Z,,Bowling Green,Mid-American,Louisiana Tech,Conference USA,web,ESPN+
401117504,2019,3,regular,2019-09-14T21:00:00.000Z,,Wyoming,Mountain West,Idaho,,web,ESPN3
401114348,2019,3,regular,2019-09-14T22:00:00.000Z,,Liberty,FBS Independents,Buffalo,Mid-American,web,ESPN+
401117866,2019,3,regular,2019-09-14T22:00:00.000Z,,South Florida,American Athletic,South Carolina State,,web,ESPN3
401114255,2019,3,regular,2019-09-14T22:00:00.000Z,,Charlotte,Conference USA,UMass,FBS Independents,web,ESPN+
401114260,2019,3,regular,2019-09-14T22:00:00.000Z,,Troy,Sun Belt,Southern Mississippi,Conference USA,web,ESPN+
401114256,2019,3,regular,2019-09-14T23:00:00.000Z,,Florida International,Conference USA,New Hampshire,,web,ESPN3
401117867,2019,3,regular,2019-09-14T23:00:00.000Z,,SMU,American Athletic,Texas State,Sun Belt,web,ESPN3
401117505,2019,3,regular,2019-09-14T23:00:00.000Z,,Nevada,Mountain West,Weber State,,web,ESPN3
401119264,2019,3,regular,2019-09-14T23:00:00.000Z,,Western Michigan,Mid-American,Georgia State,Sun Belt,web,ESPN+
401119265,2019,3,regular,2019-09-14T23:00:00.000Z,,Toledo,Mid-American,Murray State,,web,ESPN3
401112130,2019,3,regular,2019-09-14T23:30:00.000Z,,Purdue,Big Ten,TCU,Big 12,tv,BTN
401110793,2019,3,regular,2019-09-14T23:30:00.000Z,,Missouri,SEC,Southeast Missouri State,,tv,SECN
401121940,2019,3,regular,2019-09-14T23:30:00.000Z,,Louisiana,Sun Belt,Texas Southern,,web,ESPN3
401117868,2019,3,regular,2019-09-15T00:00:00.000Z,,Tulane,American Athletic,Missouri State,,web,ESPN3
401112240,2019,3,regular,2019-09-15T00:00:00.000Z,,Nebraska,Big Ten,Northern Illinois,Mid-American,tv,FS1
401112141,2019,3,regular,2019-09-15T02:30:00.000Z,,Arizona,Pac-12,Texas Tech,Big 12,tv,ESPN
401117869,2019,4,regular,2019-09-20T00:00:00.000Z,,Tulane,American Athletic,Houston,American Athletic,tv,ESPN
401114220,2019,4,regular,2019-09-21T01:00:00.000Z,,USC,Pac-12,Utah,Pac-12,tv,FS1
